Open Time,Open,High,Low,Close,Volume
2021-08-20,3184.11000000,3300.00000000,3177.16000000,3284.82000000,558127.45540000
2021-08-19,3014.18000000,3188.00000000,2958.33000000,3184.12000000,634769.92174000
2021-08-18,3011.73000000,3125.81000000,2950.00000000,3014.55000000,625103.25568000
2021-08-17,3147.18000000,3290.00000000,2991.89000000,3011.72000000,804996.06971000
2021-08-16,3307.35000000,3335.00000000,3135.22000000,3146.53000000,635667.05422000
2021-08-15,3263.16000000,3320.00000000,3111.13000000,3307.09000000,565579.67765000
2021-08-14,3322.33000000,3330.98000000,3200.00000000,3263.16000000,486102.53787000
2021-08-13,3046.11000000,3327.83000000,3033.80000000,3322.32000000,579333.40323000
2021-08-12,3160.40000000,3239.00000000,2979.29000000,3045.96000000,737628.45808000
2021-08-11,3141.14000000,3274.00000000,3120.27000000,3160.50000000,732546.60433000
2021-08-10,3160.51000000,3233.00000000,3051.22000000,3141.66000000,880675.74443000
2021-08-09,3011.84000000,3186.00000000,2893.23000000,3160.52000000,1129584.61614000
2021-08-08,3160.48000000,3189.99000000,2949.03000000,3011.85000000,966349.70579000
2021-08-07,2891.54000000,3171.00000000,2865.50000000,3160.31000000,1205277.10095000
2021-08-06,2827.01000000,2946.75000000,2720.06000000,2891.58000000,825399.48637000
2021-08-05,2724.55000000,2843.98000000,2529.91000000,2826.99000000,1307720.20654000
2021-08-04,2508.51000000,2772.71000000,2457.68000000,2724.78000000,954590.75360000
2021-08-03,2606.92000000,2632.44000000,2442.32000000,2509.04000000,792960.84375000
2021-08-02,2555.50000000,2666.00000000,2507.00000000,2606.93000000,726701.84952000
2021-08-01,2531.10000000,2697.61000000,2511.24000000,2555.69000000,853495.94078000
2021-07-31,2461.77000000,2553.86000000,2420.68000000,2531.05000000,507601.05026000
2021-07-30,2382.93000000,2471.70000000,2315.92000000,2461.81000000,762577.28797000
2021-07-29,2300.90000000,2400.00000000,2266.12000000,2382.92000000,499364.83496000
2021-07-28,2299.47000000,2345.00000000,2243.15000000,2300.90000000,718202.57727000
2021-07-27,2227.81000000,2319.26000000,2150.50000000,2299.49000000,906359.23478000
2021-07-26,2189.82000000,2433.65000000,2171.57000000,2228.08000000,1393738.16300000
2021-07-25,2184.90000000,2197.41000000,2105.93000000,2189.79000000,535630.27000000
2021-07-24,2124.26000000,2199.50000000,2105.58000000,2184.75000000,633075.18592000
2021-07-23,2024.27000000,2130.90000000,1993.22000000,2124.25000000,708160.91322000
2021-07-22,1995.50000000,2046.00000000,1947.62000000,2024.56000000,768854.36590000
2021-07-21,1786.03000000,2035.23000000,1747.55000000,1995.50000000,1115949.82033000
2021-07-20,1818.73000000,1841.34000000,1706.00000000,1786.03000000,786257.27200000
2021-07-19,1891.65000000,1919.00000000,1805.00000000,1818.73000000,547419.93771000
2021-07-18,1899.50000000,1993.79000000,1877.10000000,1891.64000000,534837.63654000
2021-07-17,1876.47000000,1919.19000000,1844.45000000,1899.59000000,430300.51578000
