open_ts_int,open_ts_str,open,high,low,close,volume,open,high,low,volume,open,high,low,volume,open,high,low,volume,open,high,low,volume,open,high,low,volume,open,high,low,volume,open,high,low,volume,open,high,low,volume,open,high,low,volume,open,high,low,volume
1641679200000,2022-01-08 22:00:00,3078.37,3133.56,3075.51,3118.45,15143.6376,3219.96,3230.33,3193.34,13433.1169,3201.18,3208.85,3175.05,10334.1321,3200.39,3205.57,3175.05,9190.9626,3176.3,3183.81,3147.09,18047.3897,3160.33,3180.0,3121.87,17453.8168,3129.01,3136.57,3035.94,37645.1714,3040.84,3080.0,3001.0,56410.6109,3009.22,3057.32,3000.0,40262.724,3028.75,3055.06,3003.3,22372.1694,3031.66,3104.13,3024.99,24844.1559
1641675600000,2022-01-08 21:00:00,3031.66,3104.13,3024.99,3078.37,24844.1559,3221.33,3224.11,3198.64,9661.0854,3219.96,3230.33,3193.34,13433.1169,3201.18,3208.85,3175.05,10334.1321,3200.39,3205.57,3175.05,9190.9626,3176.3,3183.81,3147.09,18047.3897,3160.33,3180.0,3121.87,17453.8168,3129.01,3136.57,3035.94,37645.1714,3040.84,3080.0,3001.0,56410.6109,3009.22,3057.32,3000.0,40262.724,3028.75,3055.06,3003.3,22372.1694
1641672000000,2022-01-08 20:00:00,3028.75,3055.06,3003.3,3031.62,22372.1694,3240.92,3250.0,3209.19,17975.2855,3221.33,3224.11,3198.64,9661.0854,3219.96,3230.33,3193.34,13433.1169,3201.18,3208.85,3175.05,10334.1321,3200.39,3205.57,3175.05,9190.9626,3176.3,3183.81,3147.09,18047.3897,3160.33,3180.0,3121.87,17453.8168,3129.01,3136.57,3035.94,37645.1714,3040.84,3080.0,3001.0,56410.6109,3009.22,3057.32,3000.0,40262.724
1641668400000,2022-01-08 19:00:00,3009.22,3057.32,3000.0,3028.75,40262.724,3215.68,3241.5,3215.24,9277.8525,3240.92,3250.0,3209.19,17975.2855,3221.33,3224.11,3198.64,9661.0854,3219.96,3230.33,3193.34,13433.1169,3201.18,3208.85,3175.05,10334.1321,3200.39,3205.57,3175.05,9190.9626,3176.3,3183.81,3147.09,18047.3897,3160.33,3180.0,3121.87,17453.8168,3129.01,3136.57,3035.94,37645.1714,3040.84,3080.0,3001.0,56410.6109
1641664800000,2022-01-08 18:00:00,3040.84,3080.0,3001.0,3009.22,56410.6109,3216.14,3237.85,3208.18,10722.9108,3215.68,3241.5,3215.24,9277.8525,3240.92,3250.0,3209.19,17975.2855,3221.33,3224.11,3198.64,9661.0854,3219.96,3230.33,3193.34,13433.1169,3201.18,3208.85,3175.05,10334.1321,3200.39,3205.57,3175.05,9190.9626,3176.3,3183.81,3147.09,18047.3897,3160.33,3180.0,3121.87,17453.8168,3129.01,3136.57,3035.94,37645.1714
1641661200000,2022-01-08 17:00:00,3129.01,3136.57,3035.94,3040.83,37645.1714,3219.49,3230.01,3207.23,10562.9736,3216.14,3237.85,3208.18,10722.9108,3215.68,3241.5,3215.24,9277.8525,3240.92,3250.0,3209.19,17975.2855,3221.33,3224.11,3198.64,9661.0854,3219.96,3230.33,3193.34,13433.1169,3201.18,3208.85,3175.05,10334.1321,3200.39,3205.57,3175.05,9190.9626,3176.3,3183.81,3147.09,18047.3897,3160.33,3180.0,3121.87,17453.8168
1641657600000,2022-01-08 16:00:00,3160.33,3180.0,3121.87,3129.01,17453.8168,3215.66,3223.87,3191.5,10627.8979,3219.49,3230.01,3207.23,10562.9736,3216.14,3237.85,3208.18,10722.9108,3215.68,3241.5,3215.24,9277.8525,3240.92,3250.0,3209.19,17975.2855,3221.33,3224.11,3198.64,9661.0854,3219.96,3230.33,3193.34,13433.1169,3201.18,3208.85,3175.05,10334.1321,3200.39,3205.57,3175.05,9190.9626,3176.3,3183.81,3147.09,18047.3897
1641654000000,2022-01-08 15:00:00,3176.3,3183.81,3147.09,3160.72,18047.3897,3218.69,3220.95,3204.35,4926.3488,3215.66,3223.87,3191.5,10627.8979,3219.49,3230.01,3207.23,10562.9736,3216.14,3237.85,3208.18,10722.9108,3215.68,3241.5,3215.24,9277.8525,3240.92,3250.0,3209.19,17975.2855,3221.33,3224.11,3198.64,9661.0854,3219.96,3230.33,3193.34,13433.1169,3201.18,3208.85,3175.05,10334.1321,3200.39,3205.57,3175.05,9190.9626
1641650400000,2022-01-08 14:00:00,3200.39,3205.57,3175.05,3176.31,9190.9626,3203.77,3227.46,3201.96,8935.266,3218.69,3220.95,3204.35,4926.3488,3215.66,3223.87,3191.5,10627.8979,3219.49,3230.01,3207.23,10562.9736,3216.14,3237.85,3208.18,10722.9108,3215.68,3241.5,3215.24,9277.8525,3240.92,3250.0,3209.19,17975.2855,3221.33,3224.11,3198.64,9661.0854,3219.96,3230.33,3193.34,13433.1169,3201.18,3208.85,3175.05,10334.1321
1641646800000,2022-01-08 13:00:00,3201.18,3208.85,3175.05,3200.39,10334.1321,3209.88,3213.32,3181.0,7791.641,3203.77,3227.46,3201.96,8935.266,3218.69,3220.95,3204.35,4926.3488,3215.66,3223.87,3191.5,10627.8979,3219.49,3230.01,3207.23,10562.9736,3216.14,3237.85,3208.18,10722.9108,3215.68,3241.5,3215.24,9277.8525,3240.92,3250.0,3209.19,17975.2855,3221.33,3224.11,3198.64,9661.0854,3219.96,3230.33,3193.34,13433.1169
1641643200000,2022-01-08 12:00:00,3219.96,3230.33,3193.34,3201.47,13433.1169,3217.8,3222.22,3189.95,9490.47,3209.88,3213.32,3181.0,7791.641,3203.77,3227.46,3201.96,8935.266,3218.69,3220.95,3204.35,4926.3488,3215.66,3223.87,3191.5,10627.8979,3219.49,3230.01,3207.23,10562.9736,3216.14,3237.85,3208.18,10722.9108,3215.68,3241.5,3215.24,9277.8525,3240.92,3250.0,3209.19,17975.2855,3221.33,3224.11,3198.64,9661.0854
1641639600000,2022-01-08 11:00:00,3221.33,3224.11,3198.64,3219.95,9661.0854,3235.78,3246.7,3215.94,8857.9465,3217.8,3222.22,3189.95,9490.47,3209.88,3213.32,3181.0,7791.641,3203.77,3227.46,3201.96,8935.266,3218.69,3220.95,3204.35,4926.3488,3215.66,3223.87,3191.5,10627.8979,3219.49,3230.01,3207.23,10562.9736,3216.14,3237.85,3208.18,10722.9108,3215.68,3241.5,3215.24,9277.8525,3240.92,3250.0,3209.19,17975.2855
