open_ts_int,open_ts_str,open,high,low,close,volume,open0,close0,volume0,open1,close1,volume1,open2,close2,volume2,open3,close3,volume3,open4,close4,volume4,open5,close5,volume5,open6,close6,volume6,open7,close7,volume7,open8,close8,volume8,open9,close9,volume9,open10,close10,volume10,open11,close11,volume11,open12,close12,volume12,open13,close13,volume13,open14,close14,volume14
1673042400000,2023-01-06 22:00:00,1266.28,1270.64,1265.97,1269.68,7460.1048,1247.79,1247.7,8311.0209,1247.69,1249.39,6051.5163,1249.39,1248.3,8715.9975,1248.29,1245.38,6337.553,1245.38,1243.4,21924.316,1243.4,1243.9,7219.3673,1243.89,1250.42,54064.2014,1250.42,1248.33,16624.0297,1248.34,1263.01,37256.7887,1263.01,1264.19,24825.8355,1264.19,1263.57,14210.4537,1263.56,1266.74,10602.5274,1266.74,1273.13,25037.1311,1273.12,1265.88,15842.8178,1265.89,1266.27,6309.229
1673038800000,2023-01-06 21:00:00,1265.89,1268.03,1265.17,1266.27,6309.229,1249.4,1247.78,9121.6935,1247.79,1247.7,8311.0209,1247.69,1249.39,6051.5163,1249.39,1248.3,8715.9975,1248.29,1245.38,6337.553,1245.38,1243.4,21924.316,1243.4,1243.9,7219.3673,1243.89,1250.42,54064.2014,1250.42,1248.33,16624.0297,1248.34,1263.01,37256.7887,1263.01,1264.19,24825.8355,1264.19,1263.57,14210.4537,1263.56,1266.74,10602.5274,1266.74,1273.13,25037.1311,1273.12,1265.88,15842.8178
1673035200000,2023-01-06 20:00:00,1273.12,1276.36,1265.68,1265.88,15842.8178,1251.09,1249.41,9347.0388,1249.4,1247.78,9121.6935,1247.79,1247.7,8311.0209,1247.69,1249.39,6051.5163,1249.39,1248.3,8715.9975,1248.29,1245.38,6337.553,1245.38,1243.4,21924.316,1243.4,1243.9,7219.3673,1243.89,1250.42,54064.2014,1250.42,1248.33,16624.0297,1248.34,1263.01,37256.7887,1263.01,1264.19,24825.8355,1264.19,1263.57,14210.4537,1263.56,1266.74,10602.5274,1266.74,1273.13,25037.1311
1673031600000,2023-01-06 19:00:00,1266.74,1276.7,1265.16,1273.13,25037.1311,1251.01,1251.09,9737.6815,1251.09,1249.41,9347.0388,1249.4,1247.78,9121.6935,1247.79,1247.7,8311.0209,1247.69,1249.39,6051.5163,1249.39,1248.3,8715.9975,1248.29,1245.38,6337.553,1245.38,1243.4,21924.316,1243.4,1243.9,7219.3673,1243.89,1250.42,54064.2014,1250.42,1248.33,16624.0297,1248.34,1263.01,37256.7887,1263.01,1264.19,24825.8355,1264.19,1263.57,14210.4537,1263.56,1266.74,10602.5274
1673028000000,2023-01-06 18:00:00,1263.56,1269.92,1263.56,1266.74,10602.5274,1251.98,1251.02,7604.6499,1251.01,1251.09,9737.6815,1251.09,1249.41,9347.0388,1249.4,1247.78,9121.6935,1247.79,1247.7,8311.0209,1247.69,1249.39,6051.5163,1249.39,1248.3,8715.9975,1248.29,1245.38,6337.553,1245.38,1243.4,21924.316,1243.4,1243.9,7219.3673,1243.89,1250.42,54064.2014,1250.42,1248.33,16624.0297,1248.34,1263.01,37256.7887,1263.01,1264.19,24825.8355,1264.19,1263.57,14210.4537
1673024400000,2023-01-06 17:00:00,1264.19,1269.59,1262.07,1263.57,14210.4537,1251.35,1251.98,10812.1181,1251.98,1251.02,7604.6499,1251.01,1251.09,9737.6815,1251.09,1249.41,9347.0388,1249.4,1247.78,9121.6935,1247.79,1247.7,8311.0209,1247.69,1249.39,6051.5163,1249.39,1248.3,8715.9975,1248.29,1245.38,6337.553,1245.38,1243.4,21924.316,1243.4,1243.9,7219.3673,1243.89,1250.42,54064.2014,1250.42,1248.33,16624.0297,1248.34,1263.01,37256.7887,1263.01,1264.19,24825.8355
1673020800000,2023-01-06 16:00:00,1263.01,1268.51,1260.22,1264.19,24825.8355,1255.67,1251.36,5595.3704,1251.35,1251.98,10812.1181,1251.98,1251.02,7604.6499,1251.01,1251.09,9737.6815,1251.09,1249.41,9347.0388,1249.4,1247.78,9121.6935,1247.79,1247.7,8311.0209,1247.69,1249.39,6051.5163,1249.39,1248.3,8715.9975,1248.29,1245.38,6337.553,1245.38,1243.4,21924.316,1243.4,1243.9,7219.3673,1243.89,1250.42,54064.2014,1250.42,1248.33,16624.0297,1248.34,1263.01,37256.7887
1673017200000,2023-01-06 15:00:00,1248.34,1265.0,1248.33,1263.01,37256.7887,1251.25,1255.67,12122.4869,1255.67,1251.36,5595.3704,1251.35,1251.98,10812.1181,1251.98,1251.02,7604.6499,1251.01,1251.09,9737.6815,1251.09,1249.41,9347.0388,1249.4,1247.78,9121.6935,1247.79,1247.7,8311.0209,1247.69,1249.39,6051.5163,1249.39,1248.3,8715.9975,1248.29,1245.38,6337.553,1245.38,1243.4,21924.316,1243.4,1243.9,7219.3673,1243.89,1250.42,54064.2014,1250.42,1248.33,16624.0297
1673013600000,2023-01-06 14:00:00,1250.42,1252.88,1245.62,1248.33,16624.0297,1250.76,1251.24,18450.8497,1251.25,1255.67,12122.4869,1255.67,1251.36,5595.3704,1251.35,1251.98,10812.1181,1251.98,1251.02,7604.6499,1251.01,1251.09,9737.6815,1251.09,1249.41,9347.0388,1249.4,1247.78,9121.6935,1247.79,1247.7,8311.0209,1247.69,1249.39,6051.5163,1249.39,1248.3,8715.9975,1248.29,1245.38,6337.553,1245.38,1243.4,21924.316,1243.4,1243.9,7219.3673,1243.89,1250.42,54064.2014
1673010000000,2023-01-06 13:00:00,1243.89,1253.8,1236.0,1250.42,54064.2014,1252.49,1250.75,4026.4652,1250.76,1251.24,18450.8497,1251.25,1255.67,12122.4869,1255.67,1251.36,5595.3704,1251.35,1251.98,10812.1181,1251.98,1251.02,7604.6499,1251.01,1251.09,9737.6815,1251.09,1249.41,9347.0388,1249.4,1247.78,9121.6935,1247.79,1247.7,8311.0209,1247.69,1249.39,6051.5163,1249.39,1248.3,8715.9975,1248.29,1245.38,6337.553,1245.38,1243.4,21924.316,1243.4,1243.9,7219.3673
